Index,batting_team,bowling_team,city,runs_left,balls_left,wickets,target_runs,cur_run_rate,req_run_rate,result
215,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,45,31,4,158,7.617977528,8.709677419,0
216,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,45,30,4,158,7.533333333,9,0
217,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,41,29,4,158,7.714285714,8.482758621,0
218,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,40,28,4,158,7.695652174,8.571428571,0
219,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,39,27,4,158,7.677419355,8.666666667,0
220,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,38,26,4,158,7.659574468,8.769230769,0
221,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,38,25,4,158,7.578947368,9.12,0
222,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,37,24,4,158,7.5625,9.25,0
223,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,33,23,4,158,7.731958763,8.608695652,0
224,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,33,22,3,158,7.653061224,9,0
225,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,33,21,3,158,7.575757576,9.428571429,0
226,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,33,20,3,158,7.5,9.9,0
227,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,32,19,3,158,7.485148515,10.10526316,0
228,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,32,18,3,158,7.411764706,10.66666667,0
229,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,30,17,3,158,7.45631068,10.58823529,0
230,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,29,16,3,158,7.442307692,10.875,0
231,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,28,15,3,158,7.428571429,11.2,0
232,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,28,14,3,158,7.358490566,12,0
233,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,27,13,3,158,7.345794393,12.46153846,0
234,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,21,12,3,158,7.611111111,10.5,0
235,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,21,11,3,158,7.541284404,11.45454545,0
